排名,电影名称,导演,主演,Unnamed: 4,Unnamed: 5,上映年份,国家/地区,类型,评分,评价人数,简介,主要国家
1,肖申克的救赎 ?/?月黑高飞(港)  /  刺激1995(台),导演:,,,主演: 蒂姆·罗宾斯 Tim Robbins /...,1994,美国,"['犯罪', '剧情']",9.7,3163715,希望让人自由。,美国
2,霸王别姬 ?/?再见，我的妾  /  Farewell My Concubine,导演:,,,主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,中国大陆 中国香港,"['剧情', '爱情', '同性']",9.6,2336406,风华绝代。,中国大陆
3,泰坦尼克号 ?/?铁达尼号(港 / 台),导演:,,,主演: 莱昂纳多·迪卡普里奥 Leonardo...,1997,美国 墨西哥,"['剧情', '爱情', '灾难']",9.5,2400223,失去的才是永恒的。,美国
4,阿甘正传 ?/?福雷斯特·冈普,导演:,,,主演: 汤姆·汉克斯 Tom Hanks / ...,1994,美国,"['剧情', '爱情']",9.5,2350912,一部美国近现代史。,美国
5,千与千寻 ?/?神隐少女(台)  /  千与千寻的神隐,导演:,,,主演: 柊瑠美 Rumi H?ragi / 入野自由 Miy...,2001,日本,"['剧情', '动画', '奇幻']",9.4,2443921,最好的宫崎骏，最好的久石让。,日本
6,美丽人生 ?/?一个快乐的传说(港)  /  Life Is Beautiful,导演:,,,主演: 罗伯托·贝尼尼 Roberto Beni...,1997,意大利,"['剧情', '喜剧', '爱情', '战争']",9.5,1433794,最美的谎言。,意大利
7,这个杀手不太冷 ?/?终极追杀令(台)  /  杀手莱昂,导演:,,,主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994,法国 美国,"['剧情', '动作', '犯罪']",9.4,2480811,怪蜀黍和小萝莉不得不说的故事。,法国
8,星际穿越 ?/?星际启示录(港)  /  星际效应(台),导演:,,,主演: 马修·麦康纳 Matthew Mc...,2014,美国 英国 加拿大,"['剧情', '科幻', '冒险']",9.4,2076719,爱是一种力量，让我们超越时空感知它的存在。,美国
9,盗梦空间 ?/?潜行凶间(港)  /  全面启动(台),导演:,,,主演: 莱昂纳多·迪卡普里奥 Le...,2010,美国 英国,"['剧情', '科幻', '悬疑', '冒险']",9.4,2246528,诺兰给了我们一场无法盗取的梦。,美国
10,楚门的世界 ?/?真人Show(港)  /  真人戏,导演:,,,主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998,美国,"['剧情', '科幻']",9.4,1928718,如果再也不能见到你，祝你早安，午安，晚安。,美国
11,辛德勒的名单 ?/?舒特拉的名单(港)  /  辛德勒名单,导演:,,,主演: 连姆·尼森 Liam Neeson...,1993,美国,"['剧情', '历史', '战争']",9.5,1210001,拯救一个人，就是拯救整个世界。,美国
12,忠犬八公的故事 ?/?秋田犬八千(港)  /  忠犬小八(台),导演:,,,主演: 理查·基尔 Richard Ger...,2009,美国 英国,['剧情'],9.4,1497866,永远都不能忘记你所爱的人。,美国
13,海上钢琴师 ?/?声光伴我飞(港)  /  一九零零的传奇,导演:,,,主演: 蒂姆·罗斯 Tim Roth / ...,1998,意大利,"['剧情', '音乐']",9.3,1821380,每个人都要走一条自己坚定了的路，就算是粉身碎骨。,意大利
14,三傻大闹宝莱坞 ?/?三个傻瓜(台)  /  作死不离3兄弟(港),导演:,,,主演: 阿米尔·汗 Aamir Khan / 卡...,2009,印度,"['剧情', '喜剧', '爱情', '歌舞']",9.2,2010354,英俊版憨豆，高情商版谢耳朵。,印度
15,疯狂动物城 ?/?优兽大都会(港)  /  动物方城市(台),导演:,,,主演: 金妮弗·...,2016,美国,"['喜剧', '动画', '冒险']",9.2,2161638,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,美国
16,放牛班的春天 ?/?歌声伴我心(港)  /  唱诗班男孩,导演:,,,主演: 让-巴蒂斯特·莫尼...,2004,法国 瑞士 德国,"['剧情', '音乐']",9.3,1426422,天籁一般的童声，是最接近上帝的存在。,法国
17,机器人总动员 ?/?太空奇兵·威E(港)  /  瓦力(台),导演:,,,主演: 本·贝尔特 Ben Burtt / 艾丽...,2008,美国,"['科幻', '动画', '冒险']",9.3,1433950,小瓦力，大人生。,美国
18,无间道 ?/?Infernal Affairs  /  Mou gaan dou,导演:,,,主演: 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,2002,中国香港,"['剧情', '犯罪', '惊悚']",9.3,1505436,香港电影史上永不过时的杰作。,中国香港
19,控方证人 ?/?雄才伟略  /  情妇,导演:,,,主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,1957,美国,"['剧情', '犯罪', '悬疑', '惊悚']",9.6,667645,比利·怀德满分作品。,美国
20,大话西游之大圣娶亲 ?/?西游记完结篇仙履奇缘  /  齐天大圣西游记,导演:,,,主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,"['喜剧', '爱情', '奇幻', '古装']",9.2,1656767,一生所爱。,中国香港
21,熔炉 ?/?无声呐喊(港)  /  漩涡,导演:,,,主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,2011,韩国,['剧情'],9.3,1006777,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,韩国
22,触不可及 ?/?闪亮人生(港)  /  逆转人生(台),导演:,,,主...,2011,法国,"['剧情', '喜剧']",9.3,1243147,满满温情的高雅喜剧。,法国
23,教父 ?/?Mario Puzo's The Godfather,导演:,,,主演: 马龙·白兰度 M...,1972,美国,"['剧情', '犯罪']",9.3,1063245,千万不要记恨你的对手，这样会让你失去理智。,美国
24,寻梦环游记 ?/?玩转极乐园(港)  /  可可夜总会(台),导演:,,,主演: ...,2017,美国,"['喜剧', '动画', '奇幻', '音乐']",9.1,1885266,死亡不是真的逝去，遗忘才是永恒的消亡。,美国
25,当幸福来敲门 ?/?寻找快乐的故事(港)  /  追求快乐,导演:,,,主演: 威尔·史密斯 Will Smith ...,2006,美国,"['剧情', '传记', '家庭']",9.1,1638328,平民励志片。,美国
26,末代皇帝 ?/?末代皇帝溥仪(港)  /  L'ultimo imperatore,导演:,,,主演: 尊龙 John Lone / 陈...,1987,英国 意大利 中国大陆 法国,"['剧情', '传记', '历史']",9.3,986902,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,英国
27,哈利·波特与魔法石 ?/?哈利波特1：神秘的魔法石(港 / 台) ,导演:,,,主演: Daniel Radcliffe / Emma Watson / Rupert Grint,2001,美国 英国,"['奇幻', '冒险']",9.2,1358291,童话世界的开端。,美国
